cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
105, 13216888, 14413914, 13013982, 13581237, 14369137, 13832853
106, 17555582, 11659749, 13058883, 11964776, 15503183, 14871814
107, 14254776, 11914533, 12020632, 13830523, 15312655, 14752821
108, 15927503, 14852447, 13099848, 11620475, 13247428, 16164411
109, 19971535, 18432189, 16112486, 15111503, 17879515, 19583666
110, 14454266, 14216599, 14868320, 12586176, 16648259, 17653683
111, 17202973, 12191054, 16775004, 12301252, 15767952, 17653203
112, 16183434, 15275835, 22077705, 14500451, 18102024, 21652484
113, 16112352, 16812725, 13821978, 10852376, 17312826, 14533508
114, 16290456, 14613146, 15473493, 9805731, 15963613, 17475529
115, 20229546, 15986006, 14072990, 16303411, 18706590, 16392813
116, 18588195, 14730787, 12632192, 11425695, 13689800, 12481788
117, 8594975, 8202991, 7488683, 6850217, 9618308, 8868219
118, 9463319, 9060160, 7381028, 6824046, 11606451, 9634189
119, 10501430, 8777131, 7727210, 7521762, 10391400, 9529151
120, 16431602, 11415852, 10156108, 9475233, 13002846, 14409996
121, 17880213, 16092957, 19371094, 16695507, 18902709, 23153652
122, 14478176, 12182939, 11704050, 10386058, 11743960, 13876300
123, 15735070, 10008896, 12667240, 9573801, 12421897, 13865796
124, 18453951, 13407971, 11979683, 13907643, 16620473, 17521723
125, 16532872, 13333479, 17233169, 13552983, 15222111, 20687185
126, 13276972, 13778567, 15294679, 17045315, 17669705, 19440690
127, 13492310, 9710016, 10923368, 12692075, 11639478, 16064972
128, 19634478, 15210953, 16657899, 16502415, 18736659, 19276627
129, 20336967, 15750321, 12531769, 12748340, 13665831, 22785238
130, 21097225, 19013033, 15502043, 16416008, 13659928, 21849668
131, 11567904, 11902396, 15555385, 9910454, 13268208, 18643265
132, 14390423, 10097456, 11762876, 8816712, 13696964, 15701540
133, 15107473, 10443938, 10597770, 8578857, 12726042, 14655345
134, 13852035, 10162765, 10837738, 9563566, 11469087, 11388113
135, 12293074, 10486443, 11030533, 9423213, 13037148, 13521414
136, 14314072, 11483111, 14202662, 9557074, 11943182, 11325817
137, 13599711, 11392201, 12486777, 12793963, 14725600, 19742827
138, 14016081, 12018494, 11319194, 12106330, 13366188, 17527048
139, 13360575, 14184211, 10855622, 9761317, 14063277, 14581327
140, 15498048, 11297011, 12436286, 12366068, 13682337, 15789322
141, 12992596, 11706681, 11174049, 9790234, 14336005, 14059238
