cant_ejes, ns_rutas_completas, ns_rutas_vacias, ns_rutas_esparso_conexo, ns_rutas_esparso_disconexo, ns_rutas_denso_conexo, ns_rutas_denso_disconexo
106, 7060133, 7449377, 7245955, 5757901, 7740546, 9465876
107, 8567214, 7848956, 6757563, 6123706, 8190372, 7728573
108, 9228739, 7862172, 6763160, 5878265, 7097933, 8683750
109, 9758309, 10066096, 7775118, 5968228, 8692670, 9457163
110, 9123916, 7366122, 8328750, 7281948, 9625668, 9713509
111, 9465678, 6368708, 8183087, 6226572, 8245355, 8777857
112, 8925111, 8075865, 7551339, 6799168, 9372448, 9257107
113, 9053232, 7479594, 7185059, 6027292, 8304328, 9927252
114, 9696654, 8119560, 8997649, 7716820, 10628264, 10975474
115, 9628796, 7925923, 7950655, 8262413, 10224425, 11286386
116, 16240878, 13881879, 14962591, 11432260, 15930886, 15216636
117, 15510500, 12777562, 11487714, 10561017, 13060518, 12977913
118, 18247160, 14573476, 13824470, 12733554, 15718898, 16645067
119, 18222854, 14002428, 17439622, 12762230, 15281812, 16006973
120, 12170239, 10045522, 11102690, 10716751, 12253284, 12269187
121, 11396816, 8748740, 8673658, 7736071, 10203166, 9917475
122, 10187826, 10323494, 9044278, 7480893, 12626335, 10788209
123, 11237631, 10174120, 10147317, 8655296, 10399643, 12179879
124, 13404870, 8891947, 9437408, 8369695, 12090341, 12356083
125, 15177697, 9918567, 10991823, 9211142, 12035353, 12699014
126, 11849815, 11019583, 11361447, 9418878, 11080358, 12679280
127, 11626862, 10544150, 11902944, 10151204, 11421976, 12574243
128, 12940158, 11468664, 11772703, 10670320, 12029600, 12700864
129, 12577420, 12217259, 11693494, 9633982, 14865987, 15831772
130, 12093045, 11244638, 10513207, 9996721, 12653867, 12182835
131, 14004782, 13689322, 13677517, 11200127, 14181042, 14735182
132, 15308748, 14281580, 13047137, 11711773, 15227851, 13615799
133, 15554337, 14204664, 15615534, 10586225, 12485521, 13844432
134, 17239587, 14516058, 15795639, 13048064, 18602149, 17761675
135, 14303554, 12051231, 13708466, 14761263, 14066157, 12952810
136, 19514044, 15373000, 15073857, 13646009, 14568915, 14469385
137, 12279946, 14099093, 12149559, 10522991, 15444809, 17084129
138, 16796814, 16425207, 15911726, 13224789, 19645060, 18426402
139, 21951559, 15409467, 19132007, 14428865, 20339903, 18470017
140, 14259411, 12519918, 16222377, 11918818, 18925004, 16208255
141, 19514487, 16685689, 14951565, 12833699, 15537497, 16227861
142, 15744076, 14634681, 13612366, 14111148, 14722084, 14666377
143, 17181106, 14905018, 16749610, 15080566, 19363194, 17198651
144, 16724130, 17952189, 17373152, 14839212, 17714154, 14581055
145, 13951973, 13567808, 12980035, 12136002, 14624920, 13964391
146, 18728898, 16955553, 15725274, 11847697, 16115653, 16794468
147, 15501212, 14167343, 12585083, 14373379, 16082507, 16230303
148, 14771526, 17360960, 14915449, 13657798, 16306245, 16473445
149, 17161261, 14013646, 14466255, 13056908, 15749037, 17679614
150, 18037277, 17451637, 14512371, 16203373, 18741506, 18152623
151, 19307751, 18610759, 16205288, 18181078, 22654390, 19985134
152, 18926233, 20043286, 18296977, 16939790, 19803960, 20065349
153, 25366631, 21882927, 21320839, 18800997, 24388345, 25276239
154, 24900380, 24210317, 26256305, 26661904, 25990226, 27554311
155, 22753715, 20516473, 20952582, 17694480, 25396832, 24643412
156, 23710800, 20689217, 23033445, 19640607, 24852122, 24170410
157, 19763224, 15718274, 17820605, 15428944, 20217254, 18735247
158, 27493174, 22473574, 22589451, 18459793, 28234613, 27090799
159, 20884798, 17939273, 18990679, 14955895, 20110829, 20010915
160, 19604024, 18516310, 18574055, 15325570, 19392452, 20296332
161, 18728623, 18814283, 17108090, 13141251, 18452774, 18466065
162, 17058181, 17339142, 16523579, 14092582, 18371426, 19462506
163, 20682207, 18216193, 17991213, 14275777, 17877741, 21597772
164, 17852577, 18407036, 17175361, 15913612, 19171362, 18451231
165, 19583493, 17994813, 15930661, 15711559, 18713768, 20547149
166, 19562929, 17183240, 18177901, 15859044, 21576781, 21267828
167, 19728733, 17083693, 16762104, 15857723, 18763696, 20399981
168, 20141577, 20654303, 19005058, 15609029, 19303169, 21344013
169, 24957393, 21828003, 18634882, 16138152, 20364322, 20681711
170, 21380506, 19375792, 19173542, 14644023, 19970645, 20087983
171, 20380446, 17681933, 21116189, 18124196, 20033817, 20877207
172, 26117453, 19453843, 22227935, 19281757, 26593312, 30090324
173, 23459125, 18104626, 21389060, 21087655, 21357584, 23263547
174, 26487000, 23762332, 23996178, 16461108, 24484250, 27769975
175, 27703786, 29894953, 28501111, 21506155, 22745209, 27484811
176, 26667141, 21757770, 22912991, 18743298, 24528293, 23940437
177, 24266361, 21224402, 19701921, 20660162, 22994571, 24114732
178, 28231474, 19416968, 19536658, 21025031, 27737037, 23677263
179, 26022160, 20720216, 23341563, 20344068, 23278408, 30302485
180, 25363241, 24862595, 24083136, 21447082, 28702249, 24756657
181, 29215226, 21108986, 27220739, 23891250, 24315677, 26272077
182, 28392947, 25132269, 26666879, 23570733, 29658535, 24331356
183, 25575327, 24471555, 23612130, 20781861, 27440283, 27099615
184, 31928746, 26540232, 25251405, 21140250, 33815964, 32470517
185, 36394546, 27149135, 30525874, 26397410, 32949262, 34651043
186, 33227798, 31641024, 24643096, 22165783, 28397324, 33598847
187, 28673620, 24178788, 26300501, 21182006, 28014049, 27266101
188, 25928420, 23114287, 24881673, 21060985, 27466745, 30444404
189, 28537371, 26984175, 23370088, 20683128, 29218951, 28882059
190, 35119620, 32553747, 30176776, 27668643, 32579423, 40506387
191, 37697896, 33139944, 34125714, 29990807, 37015174, 38095430
192, 28321279, 28873765, 27526486, 21629155, 30703269, 29914927
193, 32184044, 27125149, 29010640, 23301381, 28005324, 31629035
194, 33205455, 26078931, 26040859, 21732252, 28963514, 29719935
195, 32365023, 27228913, 26648071, 23873048, 27295567, 27001585
196, 30573787, 23991702, 30181403, 23570535, 33166974, 31062361
197, 32859323, 25296606, 23577462, 22267762, 29991483, 32331493
198, 34788048, 26938486, 23354856, 26573032, 34072139, 34108577
199, 43768783, 36162310, 37325492, 32109566, 40178158, 38287065
200, 30451607, 31274774, 26272540, 24652416, 31066032, 30667674
201, 35091232, 24078462, 26679376, 23267814, 33689613, 28623531
202, 32096054, 27603220, 25637068, 25032034, 26844272, 31471096
203, 31513638, 27451017, 24372854, 24079609, 32501595, 31409847
204, 33258375, 31931280, 29887617, 25731407, 33312440, 38410621
205, 30129345, 25641808, 30826910, 24691865, 32007295, 32550148
206, 35600675, 28787967, 31108182, 27115956, 37728131, 33202325
207, 34110046, 27562798, 31891997, 29818255, 38217921, 38569279
208, 35602785, 29317882, 28351992, 26369952, 34618655, 34919785
209, 34239890, 30602659, 36682722, 27728626, 35456713, 32985038
210, 35549663, 32836132, 32541632, 28806665, 34096349, 37770854
211, 36012053, 32263640, 31578802, 25405554, 32933904, 36464550
212, 33975276, 35435984, 36216355, 29101373, 36630561, 37501700
213, 49226911, 40437975, 46586102, 34091811, 50097196, 45010479
214, 34284081, 33581589, 29988171, 27084835, 40466320, 33580520
215, 36408483, 30236397, 29075793, 26826270, 39760348, 40051627
216, 33805213, 37587026, 31708015, 27525512, 34824189, 31762589
217, 29462824, 31532018, 31202466, 27695587, 35950913, 34455684
218, 35438375, 30524524, 33128227, 29766796, 32861874, 35160003
219, 34536486, 31286803, 31574653, 25659032, 39891346, 37177901
220, 43078798, 38055310, 33316372, 29679807, 38690106, 40142490
221, 37131070, 38067753, 36080121, 29868114, 41516042, 38195421
222, 39974657, 38652692, 35367924, 30444017, 39102249, 39380735
223, 46081988, 33870605, 39672491, 38601181, 40574205, 37599898
224, 41782717, 38078429, 36038449, 36834473, 44078056, 38794955
225, 53964508, 39974039, 41196037, 41926972, 56786504, 54250555
226, 55621650, 53418194, 48176651, 43272129, 58522340, 55691143
227, 46520828, 41488040, 39156378, 32371546, 42156333, 44777866
228, 42311122, 35039612, 40182190, 36376794, 50095522, 42905239
229, 49443512, 35767556, 35230331, 34997873, 40010230, 45444468
230, 54969719, 44712076, 50292733, 47676763, 57236666, 56989542
231, 41367996, 44985910, 34480473, 33738196, 47435046, 51357667
232, 57592119, 52773034, 60356212, 47024426, 52535541, 55670486
233, 47851009, 39875714, 40456728, 37689200, 49654336, 50347953
234, 44201465, 39832867, 36736400, 34212022, 47769398, 43665111
235, 47550543, 39198804, 37424500, 33774585, 43992908, 46827824
236, 55355763, 48459569, 45553033, 43844803, 53728413, 53757707
237, 55010478, 48314640, 52488969, 40424139, 45716717, 49637438
238, 49654061, 38835142, 46553174, 48845709, 56872334, 49028411
239, 49395002, 47475776, 49193564, 36357079, 43546541, 55212775
240, 49104551, 39692779, 46182706, 47626708, 46191181, 53337950
241, 54992474, 43792242, 43253779, 36613517, 49960800, 51812458
242, 49036454, 42526839, 42581529, 39129203, 51806817, 46374009
243, 46597126, 42974003, 40237579, 38340120, 49175111, 45996263
244, 63671843, 39922110, 38540470, 36369427, 47204556, 53972937
245, 48462655, 40824664, 50969874, 44241488, 54217073, 49622162
246, 52774785, 46639660, 46727493, 40683499, 52194144, 54749054
247, 67038383, 57578180, 57216827, 47830392, 67454883, 58214324
248, 68751171, 54207444, 52968852, 39412675, 60531991, 54824865
249, 54568098, 50352362, 52531873, 47879177, 47213694, 58733156
250, 52797200, 46502492, 48361855, 41005058, 47342875, 55937436
251, 56891216, 45649992, 47463327, 44163245, 48273164, 49885975
252, 75147914, 58528617, 55429176, 47084108, 67754058, 67312577
253, 53324362, 40503919, 43685028, 41921895, 51870268, 55312893
254, 52599051, 46659058, 48253102, 38460219, 56977505, 58769019
255, 51389929, 42202201, 39225252, 44501461, 60745998, 50037490
256, 70294807, 58518467, 62681680, 46288783, 59232018, 76574642
257, 76201226, 65196879, 62487387, 47605265, 57306487, 61796742
258, 53969430, 45395292, 43853171, 44009749, 55137324, 57749908
259, 51897492, 42238378, 46922831, 41026112, 58810061, 51948077
260, 50969406, 43559146, 47219205, 45339139, 49500708, 56587533
261, 56482822, 47225732, 55649840, 53373103, 58175927, 59371966
262, 54170628, 50432628, 50780143, 41558518, 52716005, 63019573
263, 60112503, 49656330, 46106772, 46214713, 55920783, 53737354
264, 54847886, 49212336, 54007426, 49865969, 63033050, 63366960
265, 79403194, 49218033, 56446529, 43146149, 58381215, 57459627
266, 51977635, 49367870, 50915914, 39639795, 56093190, 53278562
267, 60750435, 49401234, 49155763, 45343733, 51861420, 56015206
268, 55675863, 47009556, 57680882, 42621033, 56705401, 56494842
269, 59878674, 48990712, 50279913, 44953644, 61977650, 56553975
270, 64692364, 56219147, 50195543, 48080120, 59233581, 58020826
271, 63292630, 51195139, 50760890, 44445070, 57897418, 58012066
272, 65282014, 54008370, 52965995, 51813401, 61511885, 71873390
273, 80833681, 62060459, 63764248, 56928709, 68568368, 67642765
274, 66527755, 63983741, 64199611, 66965417, 68183655, 83341865
275, 76374526, 62776060, 66749514, 58211647, 67225017, 76598467
276, 78990692, 64723266, 66514726, 63648264, 83482727, 80670870
277, 69914809, 59899126, 57028155, 50460373, 61206147, 66017153
